OTU	AUGPCR_barcode66	JunPCR_barcode66	L0A1_barcode13	L0A2_barcode29	L0A3_barcode45	L0A4_barcode61	L0B1_barcode14	L0B2_barcode30	L0B3_barcode46	L0B4_barcode62	L0C1_barcode15	L0C2_barcode31	L0C3_barcode47	L0C4_barcode63	L0D1_barcode16	L0D2_barcode32	L0D3_barcode48	L0D4_barcode64	L1A1_barcode13	L1A2_barcode29	L1A3_barcode45	L1A4_barcode61	L1B1_barcode14	L1B2_barcode30	L1B3_barcode46	L1B4_barcode62	L1C1_barcode15	L1C2_barcode31	L1C3_barcode47	L1C4_barcode63	L1D1_barcode16	L1D2_barcode32	L1D3_barcode48	L1D4_barcode64	L2A1_barcode13	L2A2_barcode29	L2A3_barcode45	L2A4_barcode61	L2B1_barcode14	L2B2_barcode30	L2B3_barcode46	L2B4_barcode62	L2C1_barcode15	L2C2_barcode31	L2C3_barcode47	L2C4_barcode63	L2D1_barcode16	L2D2_barcode32	L2D3_barcode48	L2D4_barcode64	OctPCR_barcode66	R0A1_barcode09	R0A2_barcode25	R0A3_barcode41	R0A4_barcode57	R0B1_barcode10	R0B2_barcode26	R0B3_barcode42	R0B4_barcode58	R0C1_barcode11	R0C2_barcode27	R0C3_barcode43	R0C4_barcode59	R0D1_barcode12	R0D2_barcode28	R0D3_barcode44	R0D4_barcode60	R1A1_barcode09	R1A2_barcode25	R1A3_barcode41	R1A4_barcode57	R1B1_barcode10	R1B2_barcode26	R1B3_barcode42	R1B4_barcode58	R1C1_barcode11	R1C2_barcode27	R1C3_barcode43	R1C4_barcode59	R1D1_barcode12	R1D2_barcode28	R1D3_barcode44	R1D4_barcode60	R2A1_barcode09	R2A2_barcode25	R2A3_barcode41	R2A4_barcode57	R2B1_barcode10	R2B2_barcode26	R2B3_barcode42	R2B4_barcode58	R2C1_barcode11	R2C2_barcode27	R2C3_barcode43	R2C4_barcode59	R2D1_barcode12	R2D2_barcode28	R2D3_barcode44	R2D4_barcode60
OTU198	0	0	0	0	0	0	1	3	0	0	1	3	3	4	6	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	2	0	0	0	10	1	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU200	0	0	2	2	4	0	1	1	2	1	1	2	4	1	0	1	0	4	3	5	1	1	1	0	0	0	2	1	0	1	2	1	0	0	2	4	2	0	4	2	1	3	4	1	1	7	0	3	1	3	0	0	0	1	0	1	3	1	2	0	4	3	2	1	1	2	0	0	3	1	0	4	4	1	0	3	5	0	2	2	1	0	1	4	4	2	4	2	3	13	3	7	4	9	10	6	5	2	2
OTU201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	3	1	0	0	13	0	0	0	0	0	0	0
OTU202	0	0	4	5	7	5	13	0	3	8	2	6	2	20	2	2	1	4	17	13	3	2	13	10	5	3	4	7	3	14	16	12	2	6	8	14	8	7	5	8	22	5	10	8	10	11	2	17	1	25	0	0	0	4	0	5	12	2	5	1	9	13	14	3	5	4	3	12	9	0	2	13	21	4	3	9	14	3	6	8	13	2	3	19	13	10	14	18	6	18	24	11	20	19	9	12	14	12	20
OTU203	0	0	0	18	26	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	8	3	0	53	1	0	0	59	5	12	3	4	2
OTU205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
OTU206	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	0	1	1	0	1	1	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	1	0	0	0	1	0	0	0	0	0	9	1	8	0	0	0	0	0	0
OTU207	14	14	2132	1187	10006	1190	991	6525	10761	9051	1196	7573	14970	2168	1299	3326	10211	1322	39837	11422	14140	1651	6011	5145	5519	3436	7821	4379	8754	2385	24399	9957	2132	2556	6413	62669	18362	5696	2013	1349	23262	10823	1200	30557	25851	18981	2652	2000	2982	44113	19	8411	15069	14669	7751	20668	49113	25506	8658	8321	28866	36121	2276	15973	16466	8860	5937	22277	29411	3187	3470	14933	56492	11195	4075	28952	38565	6407	13131	14720	23098	6679	8289	44779	47274	22401	16523	38839	42721	33739	36415	19729	49948	41359	13774	36846	53254	18150	19564
